name,primary_category,secondary_category,machine,link,description
bar dips,chest,triceps,other,https://www.strengthlog.com/bar-dip/,1. Grip a dip station about shoulder-width apart and climb or jump to get into the starting position. 2. Lower yourself with control until your shoulder is below your elbow or as deep as you comfortably can. 3. Reverse the motion and return to the starting position.
bench press,chest,shoulders,barbell,https://www.strengthlog.com/bench-press/,
cable chest press,chest,shoulders,cable,,
close-grip chest press,chest,triceps,barbell,,
decline bench press,chest,triceps,barbell,,
dumbbell chest fly,chest,shoulders,dumbbell,,
dumbbell chest press,chest,shoulders,dumbbell,,
dumbbell pullover,chest,back,dumbbell,,
incline bench press,chest,shoulders,barbell,,
incline dumbbell chest press,chest,shoulders,dumbbell,,
incline push-up,chest,shoulders,bodyweight,,
machine chest fly,chest,shoulders,machine,,
pec deck,chest,shoulders,machine,,
push-up,chest,shoulders,bodyweight,,
standing cable chest fly,chest,shoulders,cable,,

barbell front raise,shoulders,,barbell,,
barbell rear delt row,shoulders,biceps,barbell,,
barbell upright row,shoulders,biceps,barbell,,
cable lateral raise,shoulders,,cable,,
dumbbell front raise,shoulders,,dumbbell,,
dumbbell lateral raise,shoulders,,dumbbell,,
dumbbell rear delt raise,shoulders,biceps,dumbbell,,
face pull,shoulders,,cable,,
machine lateral raise,shoulders,,machine,,
machine shoulder press,shoulders,triceps,machine,,
overhead press,shoulders,triceps,barbell,,
reverse cable fly,shoulders,,cable,,
reverse machine fly,shoulders,,machine,,
seated dumbbell shoulder press,shoulders,triceps,dumbbell,,
seated barbell overhead press,shoulders,triceps,barbell,,

barbell curl,biceps,forearms,barbell,,
barbell preacher curl,biceps,forearms,barbell,,
cable curl,biceps,forearms,cable,,
concentration curl,biceps,forearms,dumbbell,,
bicep curl,biceps,forearms,dumbbell,,
hammer curl,biceps,forearms,dumbbell,,
incline dumbbell curl,biceps,forearms,dumbbell,,
machine bicep curl,biceps,forearms,machine,,

triceps extension,triceps,,dumbbell,,
bench dip,triceps,chest,bodyweight,,
overhead triceps extension,triceps,,cable,,
tricep pushdown,triceps,,cable,,

barbell wrist curl,forearms,,barbell,,
dumbbell wrist curl,forearms,,dumbbell,,
farmers walk,forearms,,dumbbell,,
plate pinch,forearms,,other,,

squat,legs,,bodyweight,,
hack squat,legs,,barbell,,
machine hack squat,legs,,machine,,
lunge,legs,,bodyweight,,
dumbbell lunge,legs,,dumbbell,,
box squat,legs,,other,
front squat,legs,,barbell,,
goblet squat,legs,,dumbbell,,
hip adductions,legs,,machine,,
hip abductions,legs,,machine,,
leg extension,legs,,machine,,
leg press,legs,,machine,,
lying leg curl,legs,,machine,,
seated leg curl,legs,,machine,,
seated calf raise,legs,,machine,,
standing calf raise,legs,,machine,,

back extension,back,,machine,,
barbell row,back,,barbell,,
barbell shrug,back,,barbell,,
close grip seated row,back,,cable,,
wide grip seated row,back,,cable,,
chin-up,back,,bodweight,,
clean,back,,barbell,,
clean and jerk,back,,barbell,,
deadlift,back,,barbell,,
deficit deadlift,back,,barbell,,
dumbbell row,back,,dumbbell,,
dumbbell shrug,back,,dumbbell,,
good morning,back,,barbell,,
inverted row,back,,barbell,,
underhand inverted row,back,,barbell,,
kettlebell swing,back,,other,,
lat pulldown,back,,cable,,
one-handed lat pulldown,back,,cable,,
pendlay row,back,,,,
power clean,back,,barbell,,
power snatch,back,,barbell,,
pull-up,back,,bodyweight,,
seated machine row,back,,machine,,
snatch,back,,barbell,,
sumo deadlift,back,,barbell,,
t-bar row,back,,,,

banded side kicks,glute,,other,,
cable pull through,glute,,cable,,
romanian deadlift,glute,legs,barbell,,
dumbbell romanian deadlift,glute,legs,dumbbell,,
hip thrust,glute,,barbell,,
lateral band walk,glute,,other,,
glute kickbacks,glute,,machine,,

cable crunch,abs,,cable,,
crunch,abs,,bodyweight,,
hanging leg raise,abs,,bodweight,,
hanging knee raise,abs,,bodyweight,,
ab wheel roll-out,abs,,other,,
lying leg raise,abs,,bodyweight,,
machine crunch,abs,,machine,,
mountain climbers,abs,,bodyweight,,
oblique crunch,abs,,bodyweight,,
plank,abs,,bodyweight,,
side plank,abs,,bodyweight,,
sit-up,abs,,bodyweight,,

treadmill,cardio,,machine,,
rowing machine,cardio,,machine,,
stationary bike,cardio,,machine,,
